idx,uncertainty,chosen_budget,correct,tokens
0,0.2822,512,0,544.0
1,0.4926,512,0,544.0
2,0.5202,512,0,544.0
3,0.2865,512,0,544.0
4,0.2554,512,1,544.0
5,0.395,512,1,544.0
6,0.255,512,1,544.0
7,0.258,512,1,544.0
8,0.2748,512,1,544.0
9,0.508,512,1,544.0
10,0.2848,512,0,544.0
11,0.368,512,0,544.0
12,0.501,512,1,544.0
13,0.2847,512,0,544.0
14,0.2732,512,0,544.0
15,0.269,512,0,544.0
16,0.2547,512,0,544.0
17,0.5029,512,0,544.0
18,0.4728,512,1,544.0
19,0.4712,512,1,520.0
20,0.2574,512,1,544.0
21,0.2676,512,0,544.0
22,0.265,512,1,544.0
23,0.483,512,0,544.0
24,0.2698,512,0,544.0
25,0.4866,512,1,544.0
26,0.3906,512,0,544.0
27,0.2717,512,0,544.0
28,0.3198,512,0,544.0
29,0.2574,512,0,544.0
30,0.2687,512,0,544.0
31,0.2722,512,0,544.0
32,0.265,512,1,544.0
33,0.2675,512,0,544.0
34,0.2697,512,1,518.0
35,0.2672,512,1,544.0
36,0.4898,512,0,544.0
37,0.2522,512,0,544.0
38,0.2698,512,1,544.0
39,0.2548,512,1,520.0
0,0.2524,512,0,544.0
0,0.2555,512,0,544.0
1,0.4818,256,0,288.0
2,0.5165,256,0,288.0
3,0.2919,256,1,288.0
4,0.2675,256,1,288.0
5,0.4928,256,0,288.0
6,0.4952,256,0,288.0
7,0.255,512,1,544.0
8,0.2929,256,0,288.0
9,0.2849,256,1,288.0
10,0.2687,256,1,264.0
11,0.2789,256,0,288.0
12,0.4333,256,0,263.0
13,0.5117,256,0,288.0
14,0.2546,512,0,544.0
15,0.4192,256,0,288.0
16,0.3661,256,0,288.0
17,0.2722,256,0,288.0
18,0.3811,256,1,288.0
19,0.2749,256,1,288.0
20,0.4139,256,1,288.0
21,0.2726,256,1,288.0
22,0.2722,256,0,288.0
23,0.2527,512,0,544.0
24,0.5003,256,1,288.0
25,0.2698,256,0,263.0
26,0.4267,256,0,288.0
27,0.4244,256,1,288.0
28,0.2721,256,0,288.0
29,0.2745,256,0,288.0
30,0.4918,256,0,288.0
31,0.2699,256,1,288.0
32,0.4883,256,1,262.0
33,0.4838,256,0,288.0
34,0.5096,256,1,263.0
35,0.4794,256,0,288.0
36,0.4975,256,0,288.0
37,0.2718,256,0,288.0
38,0.3121,256,0,288.0
39,0.2694,256,1,288.0
0,0.4642,256,1,288.0
1,0.4561,256,0,288.0
2,0.4711,256,0,288.0
3,0.2527,256,0,288.0
4,0.4117,256,1,288.0
5,0.2599,256,0,288.0
6,0.2628,256,0,288.0
7,0.4844,512,0,544.0
8,0.2754,256,1,288.0
9,0.4851,512,1,544.0
10,0.508,512,0,544.0
11,0.2551,256,0,288.0
12,0.4192,256,0,288.0
13,0.4995,512,0,544.0
14,0.2571,256,0,288.0
15,0.2578,256,0,288.0
16,0.2728,256,0,288.0
17,0.291,256,0,288.0
18,0.5492,512,0,544.0
19,0.2698,256,0,288.0
20,0.265,256,0,288.0
21,0.25,256,1,288.0
22,0.2884,256,0,288.0
23,0.2698,256,1,288.0
24,0.5078,512,0,544.0
25,0.4676,256,0,288.0
26,0.2755,256,0,288.0
27,0.2661,256,0,288.0
28,0.3203,256,0,288.0
29,0.4885,512,1,517.0
30,0.5056,512,0,544.0
31,0.2549,256,1,288.0
32,0.255,256,1,288.0
33,0.5317,512,0,544.0
34,0.5458,512,1,544.0
35,0.2802,256,0,288.0
36,0.2789,256,0,288.0
37,0.2764,256,1,288.0
38,0.5161,512,0,544.0
39,0.2596,256,1,288.0
0,0.5002,512,0,544.0
1,0.2728,256,0,288.0
2,0.4929,512,1,521.0
3,0.265,512,1,544.0
4,0.3558,128,0,160.0
5,0.2549,512,0,544.0
6,0.25,512,1,544.0
7,0.2702,256,1,288.0
8,0.4764,128,0,160.0
9,0.5056,512,0,544.0
10,0.2954,128,0,160.0
11,0.288,128,0,160.0
12,0.2847,128,1,160.0
13,0.2827,128,0,160.0
14,0.2677,256,1,288.0
15,0.2549,512,1,544.0
16,0.5585,512,0,544.0
17,0.2746,256,1,288.0
18,0.2543,512,1,544.0
19,0.507,512,0,544.0
20,0.4923,512,0,544.0
21,0.5007,512,0,544.0
22,0.4326,128,1,160.0
23,0.2601,512,1,544.0
24,0.2845,128,1,160.0
25,0.2571,512,1,544.0
26,0.2718,256,1,288.0
27,0.2751,256,0,288.0
28,0.2551,512,1,544.0
29,0.2846,128,0,160.0
30,0.3119,128,0,160.0
31,0.2845,128,1,160.0
32,0.3592,128,0,160.0
33,0.4692,128,0,160.0
34,0.4047,128,0,160.0
35,0.2928,128,1,160.0
36,0.4431,128,1,134.0
37,0.2672,512,1,544.0
38,0.4987,512,1,544.0
39,0.2573,512,0,544.0
